DB_Size,Query_ID,Labels,Retrieved_Count,P@5,R@5,nDCG@5,LabelMatch@5,P@10,R@10,nDCG@10,LabelMatch@10,P@20,R@20,nDCG@20,LabelMatch@20
1000,QUERY_27,"Lung Lesion,Fracture,Support Devices",45,0.3303,0.1913,0.3803,0.3103,0.316,0.3065,0.396,0.296,0.224,0.344,0.334,0.204
1000,QUERY_28,No Finding,46,0.4294,0.2636,0.4794,0.4094,0.3494,0.3265,0.4294,0.3294,0.3279,0.4479,0.4379,0.3079
1000,QUERY_29,Pleural Other,30,0.4549,0.2702,0.5049,0.4349,0.39,0.3577,0.47,0.37,0.3708,0.4908,0.4808,0.3508
1000,QUERY_30,"Cardiomegaly,Lung Opacity,Edema",31,0.4472,0.2706,0.4972,0.4272,0.3528,0.3245,0.4328,0.3328,0.3278,0.4478,0.4378,0.3078
1000,QUERY_31,"Pneumonia,Lung Opacity",50,0.3914,0.2471,0.4414,0.3714,0.2688,0.2566,0.3488,0.2488,0.2154,0.3354,0.3254,0.1954
1000,QUERY_32,"Support Devices,Pneumonia,Enlarged Cardiomediastinum",40,0.4295,0.2669,0.4795,0.4095,0.3754,0.3541,0.4554,0.3554,0.326,0.446,0.436,0.306
1000,QUERY_33,"Pneumothorax,Support Devices,Edema",25,0.3764,0.2185,0.4264,0.3564,0.3107,0.2918,0.3907,0.2907,0.2524,0.3724,0.3624,0.2324
1000,QUERY_34,Edema,21,0.407,0.2418,0.457,0.387,0.358,0.3354,0.438,0.338,0.3141,0.4341,0.4241,0.2941
1000,QUERY_35,Atelectasis,28,0.4142,0.2577,0.4642,0.3942,0.296,0.2777,0.376,0.276,0.2982,0.4182,0.4082,0.2782
1000,QUERY_36,"Edema,Pleural Effusion,Support Devices",35,0.4067,0.247,0.4567,0.3867,0.3094,0.2895,0.3894,0.2894,0.3103,0.4303,0.4203,0.2903
1000,QUERY_37,"Support Devices,Lung Lesion",21,0.4057,0.228,0.4557,0.3857,0.3606,0.3317,0.4406,0.3406,0.2899,0.4099,0.3999,0.2699
1000,QUERY_38,"Atelectasis,Pleural Other",36,0.472,0.2883,0.522,0.452,0.3904,0.3585,0.4704,0.3704,0.339,0.459,0.449,0.319
1000,QUERY_39,"No Finding,Lung Opacity",23,0.4281,0.2708,0.4781,0.4081,0.3422,0.3235,0.4222,0.3222,0.2922,0.4122,0.4022,0.2722
1000,QUERY_40,"Enlarged Cardiomediastinum,Lung Lesion",43,0.4017,0.2416,0.4517,0.3817,0.3664,0.3463,0.4464,0.3464,0.2437,0.3637,0.3537,0.2237
1000,QUERY_41,"Support Devices,Pleural Other,Consolidation",36,0.3908,0.2392,0.4408,0.3708,0.3366,0.3208,0.4166,0.3166,0.2965,0.4165,0.4065,0.2765
1000,QUERY_42,"Atelectasis,Cardiomegaly",31,0.4031,0.2421,0.4531,0.3831,0.3254,0.305,0.4054,0.3054,0.2552,0.3752,0.3652,0.2352
1000,QUERY_43,Cardiomegaly,50,0.4144,0.2595,0.4644,0.3944,0.3524,0.335,0.4324,0.3324,0.3066,0.4266,0.4166,0.2866
1000,QUERY_44,"Enlarged Cardiomediastinum,Cardiomegaly",15,0.4294,0.2702,0.4794,0.4094,0.3728,0.3532,0.4528,0.3528,0.2788,0.3988,0.3888,0.2588
1000,QUERY_45,"No Finding,Lung Opacity,Pleural Effusion",44,0.3888,0.2263,0.4388,0.3688,0.3725,0.3513,0.4525,0.3525,0.3251,0.4451,0.4351,0.3051
1000,QUERY_46,"Pleural Other,Atelectasis",45,0.4099,0.2359,0.4599,0.3899,0.3904,0.3635,0.4704,0.3704,0.2904,0.4104,0.4004,0.2704
1000,QUERY_47,"Pleural Effusion,Edema,Pneumothorax",15,0.4122,0.2606,0.4622,0.3922,0.335,0.3192,0.415,0.315,0.2941,0.4141,0.4041,0.2741
1000,QUERY_48,"Pneumothorax,Consolidation,Support Devices",35,0.4644,0.2694,0.5144,0.4444,0.447,0.4095,0.527,0.427,0.3644,0.4844,0.4744,0.3444
1000,QUERY_49,Pneumothorax,48,0.3516,0.2045,0.4016,0.3316,0.3298,0.3163,0.4098,0.3098,0.2477,0.3677,0.3577,0.2277
2000,QUERY_0,Enlarged Cardiomediastinum,47,0.427,0.2464,0.477,0.407,0.3852,0.3549,0.4652,0.3652,0.3186,0.4386,0.4286,0.2986
2000,QUERY_1,"Lung Lesion,Fracture,Enlarged Cardiomediastinum",46,0.399,0.2276,0.449,0.379,0.4022,0.3765,0.4822,0.3822,0.3136,0.4336,0.4236,0.2936
2000,QUERY_2,"Lung Opacity,Enlarged Cardiomediastinum",43,0.4503,0.2712,0.5003,0.4303,0.3759,0.3463,0.4559,0.3559,0.3536,0.4736,0.4636,0.3336
2000,QUERY_3,Cardiomegaly,38,0.4793,0.2874,0.5293,0.4593,0.4252,0.3892,0.5052,0.4052,0.3884,0.5084,0.4984,0.3684
2000,QUERY_4,Pleural Effusion,38,0.3819,0.2247,0.4319,0.3619,0.3509,0.3323,0.4309,0.3309,0.241,0.361,0.351,0.221
2000,QUERY_5,Pleural Effusion,23,0.4701,0.2843,0.5201,0.4501,0.3695,0.3366,0.4495,0.3495,0.3249,0.4449,0.4349,0.3049
2000,QUERY_6,"Lung Lesion,Cardiomegaly,Pneumothorax",21,0.4774,0.2806,0.5274,0.4574,0.415,0.3766,0.495,0.395,0.3977,0.5177,0.5077,0.3777
2000,QUERY_7,Lung Opacity,39,0.4835,0.2883,0.5335,0.4635,0.4413,0.4037,0.5213,0.4213,0.3365,0.4565,0.4465,0.3165
2000,QUERY_8,"Pneumonia,Pleural Effusion,Consolidation",50,0.4348,0.2686,0.4848,0.4148,0.3616,0.3385,0.4416,0.3416,0.3024,0.4224,0.4124,0.2824
2000,QUERY_9,"Lung Opacity,Enlarged Cardiomediastinum",34,0.3813,0.2219,0.4313,0.3613,0.3469,0.3273,0.4269,0.3269,0.3052,0.4252,0.4152,0.2852
2000,QUERY_10,Pneumonia,48,0.4459,0.281,0.4959,0.4259,0.3457,0.3233,0.4257,0.3257,0.2771,0.3971,0.3871,0.2571
2000,QUERY_11,"Pleural Other,Cardiomegaly,Lung Opacity",39,0.4191,0.2636,0.4691,0.3991,0.3017,0.2839,0.3817,0.2817,0.2451,0.3651,0.3551,0.2251
2000,QUERY_12,Support Devices,28,0.4718,0.2788,0.5218,0.4518,0.435,0.3985,0.515,0.415,0.3741,0.4941,0.4841,0.3541
2000,QUERY_13,"Lung Opacity,Pleural Effusion",46,0.5056,0.3124,0.5556,0.4856,0.4172,0.3806,0.4972,0.3972,0.3816,0.5016,0.4916,0.3616
2000,QUERY_14,"Lung Opacity,Pleural Effusion",19,0.4561,0.2869,0.5061,0.4361,0.3777,0.3531,0.4577,0.3577,0.34,0.46,0.45,0.32
2000,QUERY_15,Enlarged Cardiomediastinum,39,0.398,0.2409,0.448,0.378,0.3232,0.3046,0.4032,0.3032,0.2761,0.3961,0.3861,0.2561
2000,QUERY_16,Atelectasis,26,0.5141,0.307,0.5641,0.4941,0.472,0.4285,0.552,0.452,0.42,0.54,0.53,0.4
2000,QUERY_17,Lung Lesion,44,0.4172,0.2539,0.4672,0.3972,0.3437,0.322,0.4237,0.3237,0.3168,0.4368,0.4268,0.2968
2000,QUERY_18,"Fracture,Pleural Other,Cardiomegaly",37,0.4378,0.2689,0.4878,0.4178,0.3447,0.3203,0.4247,0.3247,0.3285,0.4485,0.4385,0.3085
2000,QUERY_19,"Edema,Pleural Effusion",35,0.5186,0.3167,0.5686,0.4986,0.4426,0.4017,0.5226,0.4226,0.4138,0.5338,0.5238,0.3938
2000,QUERY_20,"Support Devices,Edema",35,0.4884,0.3065,0.5384,0.4684,0.4227,0.3917,0.5027,0.4027,0.3742,0.4942,0.4842,0.3542
2000,QUERY_21,Cardiomegaly,16,0.437,0.2754,0.487,0.417,0.3611,0.3403,0.4411,0.3411,0.2759,0.3959,0.3859,0.2559
2000,QUERY_22,"Fracture,Pneumonia",26,0.5592,0.3488,0.6092,0.5392,0.4617,0.4164,0.5417,0.4417,0.3967,0.5167,0.5067,0.3767
2000,QUERY_23,"Pneumonia,No Finding",28,0.524,0.3116,0.574,0.504,0.5087,0.4625,0.5887,0.4887,0.4443,0.5643,0.5543,0.4243
2000,QUERY_24,"Lung Lesion,Support Devices,Atelectasis",46,0.5177,0.311,0.5677,0.4977,0.4875,0.4442,0.5675,0.4675,0.3626,0.4826,0.4726,0.3426
2000,QUERY_25,"Cardiomegaly,Edema,Lung Lesion",33,0.3835,0.224,0.4335,0.3635,0.3019,0.2821,0.3819,0.2819,0.2919,0.4119,0.4019,0.2719
2000,QUERY_26,"Enlarged Cardiomediastinum,Pneumonia,Lung Opacity",40,0.419,0.2398,0.469,0.399,0.4008,0.3712,0.4808,0.3808,0.3314,0.4514,0.4414,0.3114
2000,QUERY_27,Pleural Other,36,0.3949,0.2313,0.4449,0.3749,0.3644,0.3426,0.4444,0.3444,0.3012,0.4212,0.4112,0.2812
2000,QUERY_28,"Pneumothorax,Lung Opacity",27,0.3794,0.2132,0.4294,0.3594,0.3924,0.3693,0.4724,0.3724,0.3072,0.4272,0.4172,0.2872
2000,QUERY_29,"Fracture,Pneumonia,Pleural Effusion",23,0.5049,0.3058,0.5549,0.4849,0.4074,0.3679,0.4874,0.3874,0.3608,0.4808,0.4708,0.3408
2000,QUERY_30,Pleural Effusion,21,0.4639,0.2761,0.5139,0.4439,0.4296,0.3958,0.5096,0.4096,0.3185,0.4385,0.4285,0.2985
2000,QUERY_31,Pleural Other,33,0.4286,0.2667,0.4786,0.4086,0.3083,0.2874,0.3883,0.2883,0.3073,0.4273,0.4173,0.2873
2000,QUERY_32,"Support Devices,No Finding,Consolidation",34,0.4497,0.2708,0.4997,0.4297,0.4125,0.3831,0.4925,0.3925,0.344,0.464,0.454,0.324
2000,QUERY_33,"Fracture,Cardiomegaly",38,0.4823,0.2976,0.5323,0.4623,0.4048,0.3725,0.4848,0.3848,0.3694,0.4894,0.4794,0.3494
2000,QUERY_34,Edema,30,0.415,0.2338,0.465,0.395,0.393,0.3624,0.473,0.373,0.3485,0.4685,0.4585,0.3285
2000,QUERY_35,"No Finding,Edema,Fracture",36,0.372,0.2147,0.422,0.352,0.3168,0.2981,0.3968,0.2968,0.2437,0.3637,0.3537,0.2237
2000,QUERY_36,"Enlarged Cardiomediastinum,Pneumothorax",43,0.3874,0.218,0.4374,0.3674,0.387,0.3623,0.467,0.367,0.3321,0.4521,0.4421,0.3121
2000,QUERY_37,"No Finding,Lung Lesion",15,0.3671,0.2073,0.4171,0.3471,0.3397,0.3197,0.4197,0.3197,0.3039,0.4239,0.4139,0.2839
2000,QUERY_38,Enlarged Cardiomediastinum,38,0.4022,0.2441,0.4522,0.3822,0.3604,0.3413,0.4404,0.3404,0.2745,0.3945,0.3845,0.2545
2000,QUERY_39,"Cardiomegaly,Pneumothorax,Pneumonia",26,0.4189,0.252,0.4689,0.3989,0.3549,0.3314,0.4349,0.3349,0.2996,0.4196,0.4096,0.2796
2000,QUERY_40,Pneumonia,35,0.5457,0.3321,0.5957,0.5257,0.4519,0.4051,0.5319,0.4319,0.4332,0.5532,0.5432,0.4132
2000,QUERY_41,"No Finding,Pleural Other",31,0.4342,0.257,0.4842,0.4142,0.3865,0.3579,0.4665,0.3665,0.3044,0.4244,0.4144,0.2844
2000,QUERY_42,"Lung Opacity,Edema",44,0.4739,0.2712,0.5239,0.4539,0.4389,0.3976,0.5189,0.4189,0.3925,0.5125,0.5025,0.3725
2000,QUERY_43,"Pleural Other,Fracture,Edema",36,0.4767,0.2732,0.5267,0.4567,0.4445,0.4027,0.5245,0.4245,0.4187,0.5387,0.5287,0.3987
2000,QUERY_44,Atelectasis,26,0.4389,0.2752,0.4889,0.4189,0.3415,0.3197,0.4215,0.3215,0.2634,0.3834,0.3734,0.2434
2000,QUERY_45,"Support Devices,Pneumonia",15,0.4242,0.2669,0.4742,0.4042,0.3089,0.2903,0.3889,0.2889,0.2733,0.3933,0.3833,0.2533
2000,QUERY_46,"Consolidation,Fracture",42,0.5188,0.3206,0.5688,0.4988,0.4425,0.4033,0.5225,0.4225,0.4036,0.5236,0.5136,0.3836
2000,QUERY_47,Edema,31,0.3722,0.2143,0.4222,0.3522,0.3736,0.3546,0.4536,0.3536,0.2525,0.3725,0.3625,0.2325
2000,QUERY_48,Consolidation,33,0.4929,0.301,0.5429,0.4729,0.3797,0.3438,0.4597,0.3597,0.3958,0.5158,0.5058,0.3758
2000,QUERY_49,"Lung Opacity,Support Devices,Fracture",39,0.4585,0.2652,0.5085,0.4385,0.4303,0.3937,0.5103,0.4103,0.3794,0.4994,0.4894,0.3594
3000,QUERY_0,"Pleural Effusion,Pleural Other",47,0.5028,0.3069,0.5528,0.4828,0.4206,0.3827,0.5006,0.4006,0.3741,0.4941,0.4841,0.3541
3000,QUERY_1,Atelectasis,19,0.5482,0.3328,0.5982,0.5282,0.4965,0.4488,0.5765,0.4765,0.424,0.544,0.534,0.404
3000,QUERY_2,"Pleural Effusion,Pneumonia,Edema",23,0.5132,0.3125,0.5632,0.4932,0.4157,0.3754,0.4957,0.3957,0.3631,0.4831,0.4731,0.3431
3000,QUERY_3,Cardiomegaly,15,0.4005,0.2334,0.4505,0.3805,0.3711,0.3475,0.4511,0.3511,0.2714,0.3914,0.3814,0.2514
3000,QUERY_4,"Enlarged Cardiomediastinum,Cardiomegaly,Pleural Other",25,0.5348,0.3189,0.5848,0.5148,0.5138,0.4659,0.5938,0.4938,0.459,0.579,0.569,0.439
3000,QUERY_5,Fracture,22,0.4643,0.2723,0.5143,0.4443,0.3918,0.3558,0.4718,0.3718,0.3698,0.4898,0.4798,0.3498
3000,QUERY_6,"Pleural Other,Support Devices",38,0.4718,0.2814,0.5218,0.4518,0.3909,0.3557,0.4709,0.3709,0.3889,0.5089,0.4989,0.3689
3000,QUERY_7,"Pleural Other,Edema,Cardiomegaly",36,0.4653,0.2871,0.5153,0.4453,0.3765,0.3474,0.4565,0.3565,0.2889,0.4089,0.3989,0.2689
3000,QUERY_8,Enlarged Cardiomediastinum,38,0.4334,0.2485,0.4834,0.4134,0.4209,0.3885,0.5009,0.4009,0.3324,0.4524,0.4424,0.3124
3000,QUERY_9,"Pleural Other,Fracture",30,0.4668,0.2876,0.5168,0.4468,0.3504,0.3208,0.4304,0.3304,0.3226,0.4426,0.4326,0.3026
3000,QUERY_10,"Pneumonia,Pneumothorax,Enlarged Cardiomediastinum",41,0.4321,0.2506,0.4821,0.4121,0.4227,0.3919,0.5027,0.4027,0.3622,0.4822,0.4722,0.3422
3000,QUERY_11,"Atelectasis,Pleural Other",20,0.489,0.2904,0.539,0.469,0.4165,0.3772,0.4965,0.3965,0.3703,0.4903,0.4803,0.3503
3000,QUERY_12,"Lung Lesion,Pneumonia,Cardiomegaly",18,0.389,0.224,0.439,0.369,0.3875,0.365,0.4675,0.3675,0.3103,0.4303,0.4203,0.2903
3000,QUERY_13,"Support Devices,Atelectasis,Lung Lesion",36,0.5712,0.3576,0.6212,0.5512,0.4457,0.3989,0.5257,0.4257,0.4119,0.5319,0.5219,0.3919
3000,QUERY_14,"Lung Opacity,Enlarged Cardiomediastinum,Pleural Effusion",50,0.5633,0.3536,0.6133,0.5433,0.4638,0.419,0.5438,0.4438,0.425,0.545,0.535,0.405
3000,QUERY_15,"Pneumothorax,Pneumonia,Pleural Effusion",23,0.4398,0.2519,0.4898,0.4198,0.4416,0.4076,0.5216,0.4216,0.3542,0.4742,0.4642,0.3342
3000,QUERY_16,Cardiomegaly,47,0.4585,0.2687,0.5085,0.4385,0.3769,0.342,0.4569,0.3569,0.334,0.454,0.444,0.314
3000,QUERY_17,"No Finding,Pleural Effusion,Fracture",37,0.4616,0.264,0.5116,0.4416,0.4686,0.4298,0.5486,0.4486,0.3776,0.4976,0.4876,0.3576
3000,QUERY_18,"Edema,Atelectasis",20,0.4311,0.2463,0.4811,0.4111,0.429,0.3966,0.509,0.409,0.3759,0.4959,0.4859,0.3559
3000,QUERY_19,"Pneumonia,Consolidation",20,0.4339,0.271,0.4839,0.4139,0.3861,0.3647,0.4661,0.3661,0.3075,0.4275,0.4175,0.2875
3000,QUERY_20,Consolidation,41,0.5146,0.3031,0.5646,0.4946,0.442,0.3962,0.522,0.422,0.4303,0.5503,0.5403,0.4103
3000,QUERY_21,Pneumonia,40,0.5045,0.289,0.5545,0.4845,0.4907,0.4429,0.5707,0.4707,0.4302,0.5502,0.5402,0.4102
3000,QUERY_22,"Atelectasis,Pneumonia",44,0.4941,0.2838,0.5441,0.4741,0.4899,0.4447,0.5699,0.4699,0.4127,0.5327,0.5227,0.3927
3000,QUERY_23,Pleural Other,18,0.5293,0.3151,0.5793,0.5093,0.4755,0.4284,0.5555,0.4555,0.3779,0.4979,0.4879,0.3579
3000,QUERY_24,Lung Opacity,31,0.442,0.2514,0.492,0.422,0.4503,0.4149,0.5303,0.4303,0.3201,0.4401,0.4301,0.3001
3000,QUERY_25,"No Finding,Pleural Effusion",24,0.5342,0.3192,0.5842,0.5142,0.4531,0.4056,0.5331,0.4331,0.448,0.568,0.558,0.428
3000,QUERY_26,No Finding,32,0.4696,0.2864,0.5196,0.4496,0.3672,0.3356,0.4472,0.3472,0.337,0.457,0.447,0.317
3000,QUERY_27,"Enlarged Cardiomediastinum,Pneumonia,Support Devices",32,0.421,0.2517,0.471,0.401,0.3628,0.3381,0.4428,0.3428,0.3309,0.4509,0.4409,0.3109
3000,QUERY_28,Pleural Effusion,23,0.4134,0.2416,0.4634,0.3934,0.3848,0.3588,0.4648,0.3648,0.3114,0.4314,0.4214,0.2914
3000,QUERY_29,"Lung Lesion,Pneumothorax,Pneumonia",19,0.5277,0.3074,0.5777,0.5077,0.4986,0.4485,0.5786,0.4786,0.4341,0.5541,0.5441,0.4141
3000,QUERY_30,"Lung Opacity,Edema,Pneumonia",29,0.4557,0.2787,0.5057,0.4357,0.3791,0.3507,0.4591,0.3591,0.354,0.474,0.464,0.334
3000,QUERY_31,Pleural Other,31,0.5546,0.3343,0.6046,0.5346,0.4607,0.4105,0.5407,0.4407,0.3974,0.5174,0.5074,0.3774
3000,QUERY_32,"Enlarged Cardiomediastinum,No Finding",26,0.4514,0.28,0.5014,0.4314,0.3854,0.3597,0.4654,0.3654,0.3194,0.4394,0.4294,0.2994
3000,QUERY_33,"Support Devices,Pneumothorax,Lung Opacity",40,0.5532,0.3396,0.6032,0.5332,0.4795,0.4327,0.5595,0.4595,0.3906,0.5106,0.5006,0.3706
3000,QUERY_34,Pleural Other,41,0.4026,0.2367,0.4526,0.3826,0.3437,0.3207,0.4237,0.3237,0.3166,0.4366,0.4266,0.2966
3000,QUERY_35,"Enlarged Cardiomediastinum,Pleural Other",44,0.4823,0.2991,0.5323,0.4623,0.3861,0.3544,0.4661,0.3661,0.3539,0.4739,0.4639,0.3339
3000,QUERY_36,Lung Lesion,39,0.5387,0.3233,0.5887,0.5187,0.459,0.4113,0.539,0.439,0.4264,0.5464,0.5364,0.4064
3000,QUERY_37,"Fracture,Edema,No Finding",25,0.5713,0.3563,0.6213,0.5513,0.4925,0.445,0.5725,0.4725,0.3881,0.5081,0.4981,0.3681
3000,QUERY_38,Lung Lesion,24,0.3922,0.2228,0.4422,0.3722,0.3703,0.3456,0.4503,0.3503,0.3325,0.4525,0.4425,0.3125
3000,QUERY_39,"Cardiomegaly,Lung Opacity",20,0.5034,0.2998,0.5534,0.4834,0.4641,0.4223,0.5441,0.4441,0.4038,0.5238,0.5138,0.3838
3000,QUERY_40,"No Finding,Cardiomegaly,Fracture",33,0.4424,0.2799,0.4924,0.4224,0.3358,0.3146,0.4158,0.3158,0.2595,0.3795,0.3695,0.2395
3000,QUERY_41,Consolidation,26,0.4805,0.2958,0.5305,0.4605,0.4072,0.3749,0.4872,0.3872,0.3544,0.4744,0.4644,0.3344
3000,QUERY_42,Pneumonia,33,0.5134,0.3137,0.5634,0.4934,0.433,0.3931,0.513,0.413,0.3758,0.4958,0.4858,0.3558
3000,QUERY_43,"No Finding,Pneumothorax,Pneumonia",36,0.3821,0.2156,0.4321,0.3621,0.3437,0.3204,0.4237,0.3237,0.3278,0.4478,0.4378,0.3078
3000,QUERY_44,"Pneumothorax,Edema,Lung Lesion",22,0.4167,0.2374,0.4667,0.3967,0.3665,0.3368,0.4465,0.3465,0.31,0.43,0.42,0.29
3000,QUERY_45,Pneumothorax,48,0.5061,0.3141,0.5561,0.4861,0.4519,0.4159,0.5319,0.4319,0.3964,0.5164,0.5064,0.3764
3000,QUERY_46,"Lung Opacity,Cardiomegaly",20,0.5027,0.2862,0.5527,0.4827,0.5013,0.4531,0.5813,0.4813,0.4482,0.5682,0.5582,0.4282
3000,QUERY_47,"Cardiomegaly,Edema",36,0.4667,0.2763,0.5167,0.4467,0.4011,0.3659,0.4811,0.3811,0.3282,0.4482,0.4382,0.3082
3000,QUERY_48,"Pleural Effusion,Support Devices",20,0.4215,0.2462,0.4715,0.4015,0.4056,0.3779,0.4856,0.3856,0.3561,0.4761,0.4661,0.3361
3000,QUERY_49,"Lung Lesion,Pleural Effusion",25,0.4505,0.2787,0.5005,0.4305,0.3343,0.3084,0.4143,0.3143,0.2733,0.3933,0.3833,0.2533
4000,QUERY_0,"Lung Lesion,Pneumothorax,Fracture",32,0.6233,0.3846,0.6733,0.6033,0.5679,0.5086,0.6479,0.5479,0.4425,0.5625,0.5525,0.4225
4000,QUERY_1,"Consolidation,Pneumonia",29,0.5655,0.3328,0.6155,0.5455,0.5454,0.4891,0.6254,0.5254,0.451,0.571,0.561,0.431
4000,QUERY_2,"Enlarged Cardiomediastinum,Lung Lesion",19,0.5058,0.2981,0.5558,0.4858,0.4849,0.4411,0.5649,0.4649,0.3872,0.5072,0.4972,0.3672
4000,QUERY_3,Lung Opacity,20,0.6045,0.3738,0.6545,0.5845,0.5552,0.4998,0.6352,0.5352,0.4655,0.5855,0.5755,0.4455
4000,QUERY_4,"Fracture,Cardiomegaly",50,0.6704,0.4179,0.7204,0.6504,0.5474,0.4812,0.6274,0.5274,0.5112,0.6312,0.6212,0.4912
4000,QUERY_5,"Pleural Effusion,Pneumonia",40,0.536,0.3153,0.586,0.516,0.4866,0.4363,0.5666,0.4666,0.4265,0.5465,0.5365,0.4065
4000,QUERY_6,"Lung Lesion,Atelectasis,Pneumonia",35,0.5447,0.3122,0.5947,0.5247,0.4886,0.4324,0.5686,0.4686,0.4674,0.5874,0.5774,0.4474
4000,QUERY_7,"Lung Opacity,Pneumonia,Consolidation",30,0.4962,0.2831,0.5462,0.4762,0.5073,0.4608,0.5873,0.4873,0.4026,0.5226,0.5126,0.3826
4000,QUERY_8,"Pneumonia,Enlarged Cardiomediastinum,Pleural Other",44,0.5016,0.2991,0.5516,0.4816,0.4649,0.4237,0.5449,0.4449,0.3814,0.5014,0.4914,0.3614
4000,QUERY_9,"Lung Lesion,Edema,No Finding",28,0.6122,0.3829,0.6622,0.5922,0.5017,0.447,0.5817,0.4817,0.4245,0.5445,0.5345,0.4045
